id,name,type,length_km,voltage,installed,capacity_mw,status,from_trf_id,from_sub_id,to_trf_id,to_sub_id
LINE-D2F3F8AB,Line_25,Underground,40.5,20kV,04-11-02,149,Active,,SUB-33F8FA47,TRF-BC9FD91D,
LINE-11F33901,Line_26,Overhead,29.59,110kV,14-02-22,24,Under_Repair,TRF-C20BD27E,,TRF-0A84101B,
LINE-6E75F825,Line_27,Underground,6.94,110kV,18-06-09,131,Active,TRF-8CEE733F,,TRF-E0EFBB20,
LINE-FCAB3EF2,Line_28,Cable,12.75,20kV,23-07-23,130,Active,TRF-6F0C2DFF,,TRF-7ABA8552,
LINE-4B993708,Line_29,Overhead,48.72,10kV,30-09-24,155,Active,TRF-83239AAD,,TRF-0CC40B48,
LINE-247F1734,Line_30,Cable,41.25,110kV,19-08-03,144,Active,TRF-064CB815,,TRF-B758B740,
LINE-B779DCE3,Line_31,Cable,42.34,20kV,30-07-16,47,Active,TRF-7DE516F5,,TRF-4B642FDC,
LINE-1C4D7114,Line_32,Cable,4.81,110kV,14-11-01,139,Active,TRF-80BEBEAE,,TRF-B5AF16ED,
LINE-D47BC0C2,Line_33,Underground,22.15,10kV,29-06-07,79,Active,TRF-7C334C86,,TRF-D549662B,
LINE-86E541F7,Line_34,Underground,35.66,10kV,23-02-22,135,Under_Repair,TRF-A240EA7E,,TRF-8F804E13,
LINE-B5F367EB,Line_35,Overhead,20.84,110kV,07-08-13,143,Active,TRF-C3B91D6E,,TRF-4AEBD16D,
LINE-CC717205,Line_36,Cable,28.73,20kV,22-02-17,179,Active,TRF-E6E595B4,,TRF-2CE9C9CD,
LINE-35C25C5D,Line_37,Overhead,49.91,110kV,12-12-15,2,Active,TRF-69F6448D,,TRF-F842400F,
LINE-C77E3658,Line_38,Cable,27.01,20kV,01-12-21,43,Active,TRF-EA45247E,,TRF-619FD54A,
LINE-DEB8D156,Line_39,Cable,36.97,20kV,11-06-07,106,Under_Repair,TRF-B001C8CB,,TRF-371ACB5C,
LINE-B9679BB5,Line_40,Cable,12.61,10kV,14-09-00,143,Active,TRF-F4D7EC4F,,,SUB-716960EF
LINE-49AD4B05,Line_41,Underground,37.39,10kV,05-11-14,125,Under_Repair,TRF-48770BC8,,TRF-01B1DE9E,
LINE-7571AEBC,Line_42,Cable,35.91,10kV,23-12-04,39,Active,TRF-9456C4AF,,TRF-8F74F7DF,
LINE-B32F6524,Line_43,Cable,19.03,20kV,03-08-06,130,Active,TRF-E8880513,,TRF-66C42A25,
LINE-81437478,Line_44,Underground,49.42,10kV,17-01-18,167,Under_Repair,TRF-02B2443A,,TRF-F010693D,
LINE-748F3A9E,Line_45,Cable,40.6,10kV,24-11-05,43,Active,TRF-D361CC44,,TRF-319EF4F4,
LINE-C602BA22,Line_46,Underground,35.86,20kV,08-06-06,167,Active,TRF-E6E595B4,,TRF-5D3B016D,
LINE-4AEF7BF6,Line_47,Underground,13.24,20kV,21-10-13,183,Active,TRF-1197061B,,TRF-21D28AC0,
LINE-F43FE304,Line_48,Overhead,48.91,110kV,15-03-21,62,Active,TRF-E784BF1E,,TRF-27B66FEB,
LINE-11A2D44F,Line_49,Overhead,29.98,110kV,31-08-02,175,Active,TRF-9EE7DA66,,TRF-D0349D6D,
LINE-662A4FD6,Line_50,Underground,2.22,20kV,30-11-20,70,Active,TRF-120EC3FA,,TRF-284B83EB,
LINE-D733CC5E,Line_51,Underground,46.19,10kV,05-09-21,125,Active,TRF-7C334C86,,TRF-AD01F9F5,
LINE-C9198F5B,Line_52,Overhead,13.83,10kV,15-09-12,83,Active,TRF-E90EE2A4,,TRF-61C67BAA,
LINE-3D2868BC,Line_53,Underground,8.88,20kV,18-10-01,153,Active,TRF-D9F376F1,,TRF-B157CFA1,
LINE-319EF7AF,Line_54,Underground,13,110kV,24-09-03,59,Active,TRF-4A33236D,,TRF-BFB5F227,
LINE-92E3DB12,Line_55,Cable,1.32,10kV,01-02-02,119,Active,TRF-A2C378C8,,,SUB-50FF5DDB
LINE-E22F189D,Line_56,Cable,24.35,10kV,01-07-13,106,Active,TRF-A7A964A3,,TRF-DD4E0454,
LINE-BFD6CC47,Line_57,Overhead,28.32,10kV,23-09-06,145,Active,TRF-7161D556,,TRF-21BBE98F,
LINE-A85F4E0C,Line_58,Cable,7.73,110kV,16-07-09,27,Active,TRF-AC787DA5,,TRF-40849596,
LINE-324BCD10,Line_59,Underground,10.79,110kV,27-02-02,188,Active,TRF-91CA4481,,TRF-10DE6469,
LINE-16286050,Line_60,Cable,30.78,10kV,01-08-18,65,Active,TRF-C6207BAB,,TRF-21E50199,
LINE-8BBF0149,Line_61,Cable,3.11,10kV,28-07-18,10,Active,TRF-13AB485E,,TRF-10903335,
LINE-B50E89DC,Line_62,Underground,45.88,110kV,16-01-16,143,Active,TRF-4313F9C6,,TRF-C07CA514,
LINE-ADCCF039,Line_63,Underground,8.81,20kV,13-07-14,94,Active,TRF-2220D927,,TRF-BDD21126,
LINE-944ABBC4,Line_64,Cable,29.6,10kV,30-04-03,135,Active,TRF-436BA97A,,TRF-6B3504A7,
LINE-BA6C663F,Line_65,Cable,36.53,20kV,24-03-22,138,Active,TRF-E347FEEE,,TRF-943635DA,
LINE-F702C8A5,Line_66,Cable,31.19,10kV,18-03-11,64,Active,TRF-22690B1F,,TRF-4DF4D21D,
LINE-C28C41AB,Line_67,Underground,39.07,110kV,20-11-04,139,Active,TRF-AEA08F6D,,TRF-8D0FD5FE,
LINE-17ECA60D,Line_68,Cable,39.46,10kV,23-07-21,191,Active,TRF-270D6A38,,TRF-308A15FF,
LINE-DF5CCD8E,Line_69,Overhead,46.79,20kV,25-05-06,84,Active,TRF-F9A3E872,,TRF-664C3287,
LINE-E78121CF,Line_70,Underground,35.36,10kV,24-06-09,68,Active,TRF-EBE9193C,,TRF-93EA9AD1,
LINE-125608E2,Line_71,Cable,15.18,20kV,13-11-07,61,Under_Repair,TRF-6FDFD775,,TRF-F38CDC1C,
LINE-EC4CFF19,Line_72,Cable,30.71,10kV,05-09-13,99,Active,TRF-93925574,,TRF-6C438A0A,
LINE-BDCA7F21,Line_73,Overhead,11.58,110kV,03-06-15,94,Active,TRF-80BEBEAE,,TRF-B5AF16ED,
LINE-58CB31C2,Line_74,Overhead,44.87,20kV,01-10-05,55,Active,TRF-58BA3C6C,,TRF-8F7BC6DF,
LINE-E60666A3,Line_75,Cable,32.91,20kV,03-06-19,75,Active,TRF-10D481BC,,TRF-B2586600,
LINE-3824655B,Line_76,Underground,8.69,20kV,02-06-09,31,Active,TRF-0FEE19EA,,TRF-10EAFFA5,
LINE-4943C6CF,Line_77,Underground,20.23,20kV,03-07-00,9,Under_Repair,TRF-D07746F5,,TRF-1AF1E278,
LINE-63D6226E,Line_78,Cable,11.27,10kV,06-08-00,131,Active,TRF-1E8D916B,,TRF-2C8284C9,
LINE-236037A3,Line_79,Underground,49.28,110kV,13-08-16,47,Under_Repair,TRF-1C4B8581,,TRF-A92173D8,
LINE-4EC25A88,Line_80,Overhead,47.39,10kV,24-05-15,132,Active,TRF-D06C5D7E,,TRF-3D94CC13,
LINE-98D05B0E,Line_81,Overhead,48.23,10kV,24-06-02,191,Under_Repair,TRF-3C7E72AC,,TRF-0F59C5E1,
LINE-97917628,Line_82,Underground,27.38,110kV,08-02-19,122,Active,TRF-DDA531DC,,TRF-D68C1E84,
LINE-E2C9CA65,Line_83,Cable,1.5,20kV,09-07-21,6,Active,TRF-8D0FD5FE,,TRF-2671748C,
LINE-26A2D20B,Line_84,Underground,18.41,110kV,11-08-17,59,Active,TRF-774B4B44,,TRF-6FBF608F,
LINE-C6D3A693,Line_85,Cable,10.42,110kV,19-02-03,60,Active,TRF-E0EFBB20,,TRF-CDB6E945,
LINE-C05541C5,Line_86,Overhead,45.9,10kV,19-03-08,127,Active,TRF-76CC36F0,,TRF-6EC8265F,
LINE-5708757B,Line_87,Cable,26.08,110kV,24-04-08,130,Active,TRF-35781BB5,,TRF-89659936,
LINE-39C9D7FB,Line_88,Overhead,35.14,110kV,25-12-12,157,Active,TRF-83D9DD54,,TRF-77900C3E,
LINE-9E4F549E,Line_89,Underground,0.49,20kV,23-11-23,192,Active,TRF-10DE6469,,TRF-64515FFB,
LINE-A082AF0C,Line_90,Underground,28.06,10kV,04-08-08,169,Active,TRF-74D6508D,,TRF-974BDD7F,
LINE-41D8B63C,Line_91,Overhead,16.82,10kV,28-05-09,199,Active,TRF-A1072B8D,,TRF-E76BD6C8,
LINE-9FC1DB85,Line_92,Underground,31.77,110kV,02-09-24,69,Active,TRF-B0BD6233,,TRF-95B0C3F2,
LINE-9ABF685A,Line_93,Overhead,13.08,20kV,17-04-12,62,Active,TRF-061D245B,,TRF-0F59C5E1,
LINE-8BCA3B09,Line_94,Overhead,3.27,20kV,28-06-09,133,Active,TRF-38E0E487,,TRF-6135FC2B,
LINE-E20CF7D6,Line_95,Overhead,18.48,110kV,27-09-01,116,Active,,SUB-E4F41F7A,,SUB-2685375B
LINE-7E1C58D4,Line_96,Underground,5.05,20kV,19-08-01,16,Active,TRF-B28C38AF,,,SUB-DA21F592
LINE-87955811,Line_97,Cable,22.37,10kV,28-11-01,19,Active,TRF-02B2443A,,TRF-9CDF3283,
LINE-4C5E404C,Line_98,Cable,39.21,10kV,26-12-01,67,Active,TRF-60CB0F47,,TRF-F3A83308,
LINE-5F74D421,Line_99,Cable,30.72,20kV,02-04-06,146,Active,TRF-73219D7C,,TRF-6D07EA9A,
LINE-2C368747,Line_100,Underground,20.64,110kV,20-02-17,60,Active,TRF-A86A34EA,,TRF-E81B8ED7,
LINE-DC93601E,Line_101,Cable,15.63,20kV,04-07-20,116,Active,TRF-8D0FD5FE,,,SUB-83DE65C0
LINE-93362EAD,Line_102,Cable,8.89,20kV,15-02-12,87,Active,TRF-D319344C,,TRF-79B90513,
LINE-FDD07068,Line_103,Overhead,14.87,110kV,05-07-01,1,Active,TRF-52EA6C7E,,TRF-EBDA3223,
LINE-F3C370E8,Line_104,Overhead,24.43,20kV,22-01-00,164,Active,,SUB-4DF7C565,TRF-DCDEF8FC,
LINE-0169F584,Line_105,Underground,35.26,20kV,11-02-14,191,Active,TRF-CDD97FCD,,TRF-EF02224C,
LINE-18B1B8B4,Line_106,Cable,23.73,10kV,07-09-22,157,Active,TRF-327FA234,,TRF-B22A5D08,
LINE-C883C7B2,Line_107,Overhead,38.73,10kV,04-06-10,54,Active,TRF-AB696DB6,,TRF-B27F9AAA,
LINE-C18A2164,Line_108,Underground,16.84,20kV,27-03-07,155,Active,TRF-69F82533,,TRF-FCB31B3E,
LINE-A814566E,Line_109,Underground,21.21,10kV,08-09-07,188,Active,TRF-26C5FC52,,TRF-FCB31B3E,
LINE-6F9BC6EC,Line_110,Underground,39.39,10kV,22-10-15,62,Active,TRF-F3F6F533,,TRF-5E3E0D34,
LINE-596665F9,Line_111,Cable,27.51,10kV,15-10-00,88,Active,TRF-254482B2,,TRF-889D0013,
LINE-8E189978,Line_112,Underground,1.17,110kV,05-12-13,200,Active,TRF-5A906FA4,,TRF-79BBF55B,
LINE-2CC1969B,Line_113,Underground,34.96,110kV,25-12-23,185,Active,TRF-CCF086B3,,TRF-CFAEF522,
LINE-5EEE5810,Line_114,Underground,33.31,10kV,02-08-07,153,Active,TRF-427A29E5,,,SUB-9BA43355
LINE-C10D13BB,Line_115,Overhead,0.99,10kV,07-05-12,149,Active,TRF-08ABDB77,,TRF-C1FCB91C,
LINE-D27832EC,Line_116,Underground,15.15,110kV,12-02-12,176,Under_Repair,TRF-5E508577,,TRF-E347FEEE,
LINE-94FB56CC,Line_117,Overhead,31.33,20kV,30-09-07,78,Active,TRF-5598A61C,,TRF-4A9756DA,
LINE-68B5AC4E,Line_118,Cable,9.27,20kV,06-04-23,161,Active,TRF-4AEBD16D,,,SUB-5F509FF6
LINE-640E5795,Line_119,Overhead,6.38,110kV,06-11-02,123,Active,TRF-3EEA79C0,,TRF-4313F9C6,
LINE-A0317F05,Line_120,Underground,4.85,20kV,05-12-01,126,Under_Repair,TRF-76CB9603,,TRF-AEE018EA,
LINE-3640BF7C,Line_121,Overhead,14.61,10kV,07-10-14,8,Active,TRF-A39A7F10,,TRF-BBA38FB4,
LINE-B52B9965,Line_122,Overhead,26.01,20kV,19-01-16,97,Active,TRF-F9A3E872,,TRF-AC028D74,
LINE-71FD41DA,Line_123,Cable,11.18,10kV,06-02-05,38,Under_Repair,TRF-C6207BAB,,TRF-B7ACA090,
LINE-18AEE6AC,Line_124,Cable,11.12,20kV,27-12-05,63,Active,TRF-F3A83308,,TRF-FD29423F,
LINE-50345E82,Line_125,Cable,3.19,20kV,30-01-21,14,Active,,SUB-C79493BC,TRF-7DE516F5,
LINE-5E595EE5,Line_126,Underground,6.35,20kV,03-06-23,20,Active,TRF-C8E4D802,,TRF-6A488281,
LINE-908A5EDF,Line_127,Underground,43.2,10kV,22-07-12,160,Active,TRF-5E15F19D,,TRF-061D245B,
LINE-07507657,Line_128,Underground,36.7,10kV,12-11-06,193,Active,TRF-CA866BB8,,TRF-A642FAF4,
LINE-EDC48AE8,Line_129,Underground,44.26,20kV,15-01-16,36,Active,TRF-2C9683E2,,TRF-5B438B81,
LINE-B32E2E6E,Line_130,Cable,20.8,20kV,06-10-01,199,Active,,SUB-5F509FF6,TRF-9A52C354,
LINE-BC561BB5,Line_131,Cable,3.76,20kV,25-06-16,152,Active,TRF-2CE9C9CD,,TRF-58BA3C6C,
LINE-3027E8DD,Line_132,Cable,40.32,110kV,03-10-02,165,Active,,SUB-7A97AF1F,TRF-A240EA7E,
LINE-FDEFEADA,Line_133,Underground,5.95,20kV,26-08-03,99,Active,TRF-C2D14B3B,,TRF-8DA04311,
LINE-42D366DE,Line_134,Cable,3.16,10kV,30-08-24,164,Active,TRF-42ED1C32,,TRF-A2F6DAD8,
LINE-F09DA178,Line_135,Cable,0.21,10kV,12-04-18,33,Active,TRF-F842400F,,TRF-D29AC343,
LINE-CB5B240B,Line_136,Overhead,26.31,20kV,24-12-24,29,Under_Repair,TRF-1A21E2A0,,TRF-267B1BFD,
LINE-EC666261,Line_137,Underground,45.25,20kV,24-11-02,111,Active,TRF-FF6AF00B,,TRF-87E412AA,
LINE-A33D36DD,Line_138,Overhead,43.87,10kV,13-09-10,60,Active,TRF-0CF96BD1,,TRF-B7500BE7,
LINE-593DAFCC,Line_139,Underground,41.72,400kV,24-12-19,186,Under_Repair,,SUB-7C38593A,TRF-4CA4AB1D,
LINE-09EE86C8,Line_140,Overhead,31.8,10kV,16-08-23,170,Active,TRF-CDB6E945,,TRF-E36A09E8,
LINE-BE199C40,Line_141,Cable,18.2,110kV,08-09-23,39,Under_Repair,TRF-83D9DD54,,,SUB-3CAB5FA0
LINE-1E3937F4,Line_142,Underground,7.97,10kV,26-07-03,63,Active,TRF-4C308B03,,,SUB-E4F41F7A
LINE-388A849B,Line_143,Cable,14.02,20kV,09-06-08,30,Active,TRF-FFBF0966,,TRF-69996A1C,
LINE-B6234DD8,Line_144,Overhead,40.03,10kV,17-03-08,162,Active,TRF-47AA6478,,TRF-182E6FB9,
LINE-12A38831,Line_145,Cable,23.9,20kV,14-06-13,184,Under_Repair,TRF-89E3ADC4,,TRF-1A21E2A0,
LINE-32AACA17,Line_146,Underground,12.02,20kV,15-10-01,165,Active,TRF-F9A3E872,,TRF-B3FE027F,
LINE-61438EF6,Line_147,Overhead,29.48,20kV,04-06-22,49,Active,TRF-B64D34A7,,TRF-D6E6A297,
LINE-ACAC7849,Line_148,Underground,3.29,10kV,30-01-19,100,Active,TRF-BFD4A5A6,,TRF-92ADAEC2,
LINE-68CB7220,Line_149,Underground,16.89,10kV,04-08-13,145,Active,TRF-9920E857,,TRF-A09858AB,
LINE-6C63874A,Line_150,Cable,24.93,10kV,30-08-03,30,Active,TRF-AE645FDA,,,SUB-753DF0FA
LINE-DDB00318,Line_151,Cable,40.03,20kV,31-12-22,108,Active,TRF-09CC8D07,,,SUB-B69A270A
LINE-282C141F,Line_152,Overhead,17.84,10kV,01-07-17,189,Active,TRF-2C8284C9,,TRF-59AD4C80,
LINE-C8A8BFD0,Line_153,Cable,42.68,10kV,17-05-01,112,Under_Repair,TRF-22690B1F,,TRF-BAE7B76D,
LINE-676A5E86,Line_154,Cable,27.66,10kV,24-12-06,25,Under_Repair,TRF-6482900D,,TRF-97D00D87,
LINE-4C232A57,Line_155,Overhead,32.35,20kV,07-06-04,26,Active,TRF-6D4018C6,,TRF-30E07BC5,
LINE-192AC787,Line_156,Overhead,23.26,20kV,06-09-23,71,Active,TRF-0FEE19EA,,TRF-10D481BC,
LINE-5F888DBB,Line_157,Cable,30.64,20kV,15-07-06,47,Active,TRF-49071570,,TRF-40504914,
LINE-FF7FB08F,Line_158,Overhead,46.56,10kV,16-12-17,100,Active,TRF-14162C4E,,TRF-28B18591,
LINE-67741A18,Line_159,Underground,32.67,20kV,31-10-09,93,Active,TRF-AF05ECA9,,TRF-F816A9E5,
LINE-73E8374D,Line_160,Cable,28.55,10kV,09-02-11,56,Active,TRF-C45FE69B,,TRF-0CF96BD1,
LINE-CC66614A,Line_161,Cable,45.59,10kV,15-06-00,42,Under_Repair,TRF-DD2F69BC,,TRF-2D3092C4,
LINE-017468C8,Line_162,Cable,15.78,10kV,26-10-24,106,Active,TRF-018D0C8D,,TRF-8A540AE6,
LINE-B8E4FD1B,Line_163,Overhead,24.62,110kV,30-05-02,85,Active,TRF-003228DA,,TRF-91AF61EA,
LINE-311A04A6,Line_164,Underground,17.22,10kV,26-12-09,2,Active,TRF-5DD93762,,TRF-C5592629,
LINE-27909182,Line_165,Cable,22.35,400kV,20-08-22,59,Active,,SUB-0F2A0504,TRF-3E59CA9A,
LINE-718D2B4E,Line_166,Cable,13.35,10kV,02-11-16,93,Active,TRF-61EE2250,,TRF-C45FE69B,
LINE-AA58D128,Line_167,Overhead,7.39,20kV,22-04-14,149,Active,TRF-04136431,,TRF-4326A645,
LINE-7F9D39E7,Line_168,Underground,19.8,10kV,25-01-14,157,Active,TRF-5B438B81,,TRF-F38CDC1C,
LINE-B52EE0D9,Line_169,Underground,8.34,10kV,28-04-16,18,Active,TRF-A240EA7E,,TRF-D2F0FCD6,
LINE-5ADD844B,Line_170,Overhead,6.81,10kV,28-07-20,184,Active,TRF-A39A7F10,,TRF-9CE17F02,
LINE-04116012,Line_171,Underground,23.17,10kV,24-09-10,134,Active,TRF-3724A5F6,,TRF-88D28E35,
LINE-78DC2007,Line_172,Underground,49.04,10kV,04-06-17,175,Active,TRF-2EFD2BF0,,TRF-9EE7DA66,
LINE-14B0DA1B,Line_173,Overhead,49.53,20kV,15-05-00,120,Active,TRF-60201D81,,TRF-741A0C2E,
LINE-C03E6307,Line_174,Cable,12.12,10kV,07-12-19,165,Active,TRF-5B438B81,,TRF-E9384DB2,
LINE-4527083A,Line_175,Overhead,34.42,10kV,29-09-24,65,Active,TRF-4F984064,,TRF-B9DA8FAE,
LINE-81D14B53,Line_176,Cable,46.81,20kV,14-05-22,117,Under_Repair,TRF-44931341,,TRF-E76BD6C8,
LINE-5111D427,Line_177,Underground,26.41,20kV,08-08-04,26,Active,TRF-C3008570,,TRF-EAD6840A,
LINE-2A955BED,Line_178,Cable,32.84,10kV,24-04-08,162,Under_Repair,TRF-83239AAD,,TRF-49C98AC1,
LINE-F04A1201,Line_179,Underground,30.39,110kV,04-02-01,180,Active,TRF-487B8C63,,TRF-07C37FDD,
LINE-053A703B,Line_180,Cable,29.51,10kV,13-08-23,20,Under_Repair,TRF-D87B8125,,,SUB-5F509FF6
LINE-FA524A17,Line_181,Underground,23.63,10kV,23-11-06,101,Active,TRF-12A3C5AE,,TRF-C0D2B35D,
LINE-A3B60792,Line_182,Cable,39.71,10kV,01-07-11,11,Active,TRF-76CC36F0,,TRF-2FB03AAF,
LINE-63A83ED5,Line_183,Overhead,29.62,10kV,25-09-09,43,Under_Repair,TRF-ED6D7A12,,TRF-E370D5BC,
LINE-322C05E6,Line_184,Cable,12.74,10kV,23-02-03,167,Active,TRF-E90EE2A4,,TRF-151EF5FB,
LINE-79A63FF5,Line_185,Underground,10.26,10kV,17-02-09,84,Under_Repair,TRF-D03D4E3B,,TRF-17BD6236,
LINE-F4D02693,Line_186,Underground,29.88,110kV,19-02-14,191,Active,TRF-8407DC19,,TRF-D549662B,
LINE-8817B8CC,Line_187,Underground,8.7,110kV,15-06-06,133,Active,TRF-EA2F459C,,,SUB-50FF5DDB
LINE-5DF63F1B,Line_188,Overhead,41.93,10kV,18-04-17,164,Active,TRF-EAD6840A,,TRF-B68ED922,
LINE-B4FFCE1D,Line_189,Overhead,40.84,110kV,19-11-11,187,Active,TRF-36421D02,,,SUB-93BD374B
LINE-3F28FEEB,Line_190,Overhead,48.8,110kV,20-02-24,112,Active,,SUB-EE903A64,TRF-5D9EC70C,
LINE-5BC4DF36,Line_191,Underground,29.16,10kV,03-03-22,126,Active,TRF-F571F101,,TRF-AB387FAC,
LINE-39E21850,Line_192,Underground,10.42,20kV,25-03-04,40,Active,TRF-21D28AC0,,TRF-6482900D,
LINE-61438533,Line_193,Overhead,5.35,10kV,03-07-04,21,Under_Repair,TRF-593FD9BB,,,SUB-C031CE7E
LINE-8ECDAB2E,Line_194,Underground,34.5,20kV,29-09-20,139,Active,,SUB-3441C817,TRF-CDE86A03,
LINE-E8D7B890,Line_195,Cable,26.59,20kV,06-11-07,34,Under_Repair,TRF-89659936,,TRF-1AE8F8C9,
LINE-87B800BB,Line_196,Cable,39.05,10kV,23-11-19,61,Active,TRF-EBDA3223,,TRF-BB2849CF,
LINE-A5E44B0F,Line_197,Overhead,0.21,10kV,02-01-06,43,Active,TRF-3C7E72AC,,TRF-FCB31B3E,
LINE-4156D422,Line_198,Underground,39.65,10kV,03-11-24,90,Active,TRF-374D10EB,,TRF-A6A4D223,
LINE-1AAAB375,Line_199,Overhead,10.17,20kV,07-08-21,159,Under_Repair,TRF-76CB9603,,,SUB-E4F41F7A
LINE-D31B6C49,Line_200,Overhead,42.58,10kV,25-07-24,9,Active,TRF-491C717B,,TRF-925C6BAE,
LINE-73F743E0,Line_201,Underground,2.77,110kV,08-06-04,102,Active,TRF-5A906FA4,,,SUB-716960EF
LINE-387071BB,Line_202,Overhead,37.19,10kV,13-07-09,34,Active,TRF-FC1E0D0D,,TRF-E347FEEE,
LINE-5DD65E20,Line_203,Overhead,14.64,10kV,28-07-14,7,Active,TRF-CE2285F2,,TRF-03B46EE8,
LINE-78A805D3,Line_204,Overhead,33.63,20kV,11-01-05,114,Active,TRF-6E795249,,TRF-95285C9E,
LINE-E6901849,Line_205,Underground,32.2,10kV,14-12-07,139,Active,TRF-BFB492B5,,TRF-6D4018C6,
LINE-5B19EE93,Line_206,Underground,1.77,20kV,03-04-16,149,Under_Repair,TRF-CE241410,,TRF-14F16957,
LINE-8E83C623,Line_207,Cable,0.14,10kV,28-03-07,7,Under_Repair,TRF-889D0013,,TRF-3675590E,
LINE-8EE887FE,Line_208,Overhead,47.84,10kV,25-09-04,15,Active,TRF-5F2FDD69,,TRF-53B774E8,
LINE-C9AA1669,Line_209,Underground,25.95,20kV,28-12-13,90,Under_Repair,TRF-AE1BF7FB,,TRF-2C8284C9,
LINE-D695F53C,Line_210,Cable,8.6,110kV,04-04-09,35,Under_Repair,TRF-495F8566,,TRF-B7C1A947,
LINE-C32A83F8,Line_211,Cable,36.27,20kV,26-08-23,80,Active,TRF-10DE6469,,TRF-91CA4481,
LINE-356AABBB,Line_212,Overhead,46.56,20kV,15-01-17,183,Under_Repair,TRF-F3A83308,,TRF-47AA6478,
LINE-5F6D321A,Line_213,Cable,24.08,10kV,06-11-07,169,Under_Repair,TRF-74D6508D,,TRF-C3008570,
LINE-A5AE2C5C,Line_214,Cable,29.13,10kV,13-07-09,95,Active,TRF-D361CC44,,TRF-DE800690,
LINE-3F7C26A9,Line_215,Overhead,13.96,20kV,08-11-16,19,Active,TRF-B7C1A947,,TRF-08ABDB77,
LINE-23E184F8,Line_216,Underground,44.21,20kV,27-10-20,10,Active,TRF-6F0C2DFF,,TRF-E347FEEE,
LINE-B2712594,Line_217,Overhead,42.14,20kV,26-11-03,100,Active,TRF-BAE7B76D,,TRF-0F6D45D1,
LINE-E171CD5C,Line_218,Cable,2.93,20kV,26-10-01,129,Under_Repair,TRF-EE8EB8E2,,TRF-87200CF4,
LINE-D5A620FD,Line_219,Cable,16.51,110kV,14-07-01,137,Active,TRF-8B950D71,,,SUB-AB0AC15E
LINE-BE83450E,Line_220,Underground,37.57,10kV,13-05-14,161,Active,TRF-BC45C28A,,TRF-08ABDB77,
